,Unnamed: 0,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam,label,clean_review
10,10,"Điểm mua sắm quà lưu niệm lý tưởng, đầy đủ hàng hóa của các làng nghề truyền thống của vùng quê đất võ Tây Sơn, Bình Định. Nơi đây là điểm cung ứng hàng hóa của người nông dân nên giá cũng rất bình dân. Hãy đến đây khi đến với Bình Định, vì không muốn khi về quên mang theo món đặc sản truyền thống, tinh hoa của đất võ Tây Sơn 😍",0,0,0,0,0,5,{mua_sam#very_positive},điểm mua_sắm quà lưu_niệm lý_tưởng đầy_đủ hàng_hoá của các làng_nghề truyền_thống của vùng quê đất võ tây_sơn bình_định nơi đây là điểm cung_ứng hàng_hoá của người nông_dân nên giá cũng rất bình_dân hãy đến đây khi đến với bình_định vì không muốn khi về quên mang theo món đặc_sản truyền_thống tinh_hoa của đất võ tây_sơn smiling face with hearteyes
11,11,Xe báo chạy 18h tối nhưng cuối cùng tới 18h30 mới xuất phát. Và theo lịch thì 5h sáng hôm sau thì tận 5h30 người trong đoàn báo lại vẫn còn cách Quy Nhơn 40km - sự việc khiên cho đoàn chúng tôi xém bị trễ công việc.,0,0,0,0,3,0,{di_chuyen#neutral},xe báo chạy 18h tối nhưng cuối_cùng tới 18h30 mới xuất_phát và theo lịch thì 5h sáng hôm sau thì tận 5h30 người trong đoàn báo lại vẫn còn cách quy nhơn 40km sự_việc khiên cho đoàn chúng_tôi xém bị trễ công_việc
12,12,"Chúng tôi ăn nhanh nhất có thể vì một anh chàng người Trung Quốc ở đó nghĩ rằng anh ta đã bị thứ gì đó cắn. Không thực sự biết nếu nó là trường hợp, không muốn biết.",0,0,0,0,0,0,{di_chuyen#neutral},chúng_tôi ăn nhanh nhất có_thể vì một anh_chàng người trung_quốc ở đó nghĩ rằng anh ta đã bị thứ gì đó cắn không thực_sự biết nếu nó là trường_hợp không muốn biết
13,13,"Quán chắc làm việc với lê tân FLC để đưa đón miễn phí. Nhưng đồ ăn thì cơ bản đắt và không tươi. Lúc hỏi nhân viên mực tươi không thì nhân viên nói tươi, nhưng lúc mang ra thì mực không tươi và cảm nhận đc ngay là đồ đông lạnh. Hàu nướng mỡ hành thì quá dở, 1 vỏ mà có tới 2 con hàu và không bằng quán vỉa hè. Khuyến nghị du khách không nên đến quán này.",0,0,0,1,5,0,"{an_uong#very_negative}, {di_chuyen#very_positive}",quán chắc làm_việc với lê_tân_flc để đưa_đón miễn_phí nhưng đồ_ăn thì cơ_bản đắt và không tươi lúc hỏi nhân_viên mực tươi không thì nhân_viên nói tươi nhưng lúc mang ra thì mực không tươi và cảm_nhận đc ngay là đồ đông_lạnh hàu nướng mỡ hành thì quá dở 1 vỏ mà có tới 2 con hàu và không bằng quán vỉa_hè khuyến_nghị du_khách không nên đến quán này
14,14,"Hải sản ở Quy Nhơn vốn đã khá tươi và nhiều loại lạ đa dạng rồi. Quán khá lớn, rộng rãi và thoáng đãng. Nhân viên phục vụ lịch sự, lễ phép nhưng hơi chậm chạp. Nhà mình đi ăn có 1 lô lốc lít nhít trẻ con không ăn nhậu được nên phải gọi cơm thịt trứng canh cho tụi nhỉ ăn riêng mà phải chờ lâu ơi là lâu. Đến khi mâm người lớn phải ăn nhậu được nửa bữa rồi mới thấy mâm trẻ con được vào ăn. Đồ ăn mặt bằng chung chế biến ổn, có món ăn rất lạ miệng.",0,0,0,4,0,0,{an_uong#positive},hải_sản ở quy nhơn vốn đã khá tươi và nhiều loại lạ đa_dạng rồi quán khá lớn rộng_rãi và thoáng_đãng nhân_viên phục_vụ lịch_sự lễ_phép nhưng hơi chậm_chạp nhà mình đi ăn có 1 lô_lốc lít_nhít trẻ_con không ăn_nhậu được nên phải gọi cơm thịt trứng canh cho tụi nhỉ ăn riêng mà phải chờ lâu ơi_là lâu đến khi mâm người_lớn phải ăn_nhậu được nửa bữa rồi mới thấy mâm trẻ_con được vào ăn đồ_ăn mặt_bằng chung chế_biến ổn có món ăn rất lạ_miệng
15,15,"Phòng có giường lớn, êm đẹp, sạch sẽ,... Lễ tân is the best. Buffet ngon, thanh đạm. Không gian sảnh sang chảnh tha hồ check in. Cảm ơn Phương Linh đã giúp tụi mình tìm 1 căn phòng vừa ý. Nếu có dịp mình sẽ chọn căn Pano.",0,5,0,0,0,0,{luu_tru#very_positive},phòng có giường lớn êm_đẹp sạch_sẽ lễ_tân is the best buffet ngon thanh_đạm không_gian sảnh sang chảnh tha_hồ check in cảm_ơn phương linh đã giúp tụi mình tìm 1 căn phòng vừa_ý nếu có dịp mình sẽ chọn căn pano
16,16,"Đã thuê xe tại đây ! Xe đời mới chạy rất êm và không có vấn đề trục trặc .
Nhóm mình thuê tận 4 ngày, đi chinh chiến tận cả các điểm du lịch như eo gió, kỳ co, Flc, hầm hô, tháp bánh ít, nhà thờ lòng sông, hoa vàng cỏ xanh ở phú yên nữa mà chẳng gặp bất cứ trục trặc gì. Anh chủ cho thuê xe cũng rất tận tình và thân thiện . Tư vấn cho mình rất nhiều món ăn ngon và địa điểm mua đặc sản giá rẻ mua về làm quà !
Các bạn nên thuê xe máy tại 27a Hoàng Hoa Thám khi đến quy nhơn du lịch nhé, thoải mái vi vu yên tâm cực kỳ luôn",0,0,0,0,5,0,{di_chuyen#very_positive},đã thuê xe tại đây xe đời_mới chạy rất êm và không có vấn_đề trục_trặc nhóm mình thuê tận 4 ngày đi chinh_chiến tận cả các điểm du_lịch như eo gió kỳ co flc hầm hô tháp bánh_ít nhà_thờ lòng_sông hoa vàng cỏ xanh ở phú_yên nữa mà chẳng gặp bất_cứ trục_trặc gì anh chủ cho thuê xe cũng rất tận_tình và thân_thiện tư_vấn cho mình rất nhiều món ăn ngon và địa_điểm mua đặc_sản giá rẻ mua về làm_quà các bạn nên thuê xe_máy tại 27a hoàng hoa thám khi đến quy nhơn du_lịch nhé thoải_mái vi_vu yên_tâm cực_kỳ luôn
17,17,Có một chuyến đi vào tối thứ Sáu thông qua giao thông rất nặng vào giờ cao điểm.,0,0,0,0,1,0,{di_chuyen#very_negative},có một chuyến đi vào tối thứ_sáu thông_qua giao_thông rất nặng vào giờ cao_điểm
18,18,"Hiện  tại đã tu sửa xong, tuy nhiên loại hình nghệ thuật này phổ biến ở vùng nông thôn Bình Định hơn là thành phố, đáng buồn là người dân thành phố chưa có sự quan tâm đúng mức đến loại hình nghệ thuật đặc sắc này",4,0,0,0,0,0,{giai_tri#positive},hiện_tại đã tu_sửa xong tuy_nhiên loại_hình nghệ_thuật này phổ_biến ở vùng nông_thôn bình_định hơn là thành_phố đáng buồn là người_dân thành_phố chưa có sự quan_tâm đúng_mức đến loại_hình nghệ_thuật đặc_sắc này
19,19,"Anh Chị chủ xe nhiệt tình, vui vẻ, hỗ trợ khách nhanh và chu đáo. Giao xe và lấy xe tận nơi. Xe mới,đẹp như xe gia đình chứ không phải đang đi xe thuê. Nếu có dịp ra Quy Nhơn mình sẽ tiếp tục ủng hộ.",0,0,0,0,5,0,{di_chuyen#very_positive},anh_chị chủ xe nhiệt_tình vui_vẻ hỗ_trợ khách nhanh và chu_đáo giao xe và lấy xe tận nơi xe mớiđẹp như xe gia_đình chứ không phải đang đi xe thuê nếu có dịp ra quy nhơn mình sẽ tiếp_tục ủng_hộ
20,20,"Phải nói xe này là tồi tệ nhất trước giờ đi . AI MÀ ĐI VỀ ĐÀ NẴNG KHÔNG NÊN ĐI NHÉ .Nó thả cách thành phố 15 -20km phải tốn 300k tiền xe về tới nhà. Trong khi đặt đã nói về tới bến xe . Còn ô phụ xe thì thôi mặt lúc nào cũng nhăn khách này nọ . Không cho nổi chai nước suối , cái khăn lạnh nữa . Đúng xe dỏm
",0,0,0,0,1,0,{di_chuyen#very_negative},phải nói xe này là tồi_tệ nhất trước giờ đi ai mà đi về đà_nẵng không nên đi nhé nó thả cách thành_phố 15 20km phải tốn 300k tiền xe về tới nhà trong khi đặt đã nói về tới_bến xe còn ô phụ xe thì thôi mặt lúc_nào cũng nhăn khách này_nọ không cho nổi chai nước suối cái khăn lạnh nữa đúng xe dỏm
21,21,Sáng nay mình ghé shop Cứ nghĩ shop có mấy hệ thống có thương hiệu khá thấy vọng khi mua đồ tại shop phục vụ kém thái độ ra mặt mọi người cẩn thận vô phải mua chứ ko mua coi chừng bị chưởi nha nói chung đồ ko đẹp mà thái độ phục vụ còn tệ hơn,0,0,0,0,0,1,{mua_sam#very_negative},sáng nay mình ghé shop cứ nghĩ shop có mấy hệ_thống có thương_hiệu khá thấy vọng khi mua đồ tại shop phục_vụ kém thái_độ ra_mặt mọi người cẩn_thận vô phải mua chứ ko mua coi_chừng bị chưởi nha nói_chung đồ ko đẹp mà thái_độ phục_vụ còn tệ hơn
22,22,"Sau một tuần làm việc mệt mỏi chắc hẳn ai cũng muốn được nghỉ ngơi, Heekcaa sẽ là nơi tuyệt vời vào ngày cuối tuần để bạn tụ tập tám dóc với bạn bè. View đẹp, không gian yên tĩnh, nhân viên nhiệt tình vui vẻ. Nơi đây sẽ không làm bạn thất vọng đặc biệt là nước. Phải nói là rất ngon giá cả cũng không quá cao phù hợp với mọi người. Hôm nay tôi nhâm nhi thử món Trà sữa cheese thêm trân châu trắng và Sữa tươi Heekcaa trân châu đường đen. Trân châu ở này rất ngon không như những quán khác mà tôi từng đi. Chắc đến đây miết quá )))",0,0,0,5,0,0,{an_uong#very_positive},sau một tuần làm_việc mệt_mỏi chắc_hẳn ai cũng muốn được nghỉ_ngơi heekcaa sẽ là nơi tuyệt_vời vào ngày cuối tuần để bạn tụ_tập tám dóc với bạn_bè view đẹp không_gian yên_tĩnh nhân_viên nhiệt_tình vui_vẻ nơi đây sẽ không làm_bạn thất_vọng đặc_biệt là nước phải nói là rất ngon giá_cả cũng không quá cao phù_hợp với mọi người hôm_nay tôi nhâm_nhi thử món trà sữa cheese thêm trân_châu trắng và sữa_tươi heekcaa trân_châu đường đen trân_châu ở này rất ngon không như những quán khác mà tôi từng đi chắc đến đây miết quá
23,23,"Gần biển,gần chỗ ăn uống.Nhân viên dễ thương",0,4,0,0,0,0,{luu_tru#positive},gần biểngần chỗ ăn uốngnhân viên dễ_thương
24,24,"Trải nghiệm mua sắm tại chợ là tuyệt vời.hay nan lại vài giây để có một trái nghiệm thú vị.
",0,0,0,0,0,5,{mua_sam#very_positive},trải_nghiệm mua_sắm tại chợ là tuyệt vờihay nan lại vài giây để có một trái nghiệm thú_vị
25,25,"Đăng ký thuê xe tự lái Quy Nhơn 2 xe 7 chỗ giao xe tại sân bay Phù Cát rất đúng giờ. Nhiệt tình tư vấn các điểm ăn ngon giá rẻ
",0,0,0,0,4,0,{di_chuyen#positive},đăng_ký thuê xe tự lái quy nhơn 2 xe 7 chỗ giao xe tại sân_bay phù_cát rất đúng giờ nhiệt_tình tư_vấn các điểm ăn ngon giá rẻ
26,26,"Mát mẻ,nhìn cũng dc,nhưng ko có gì đặc sắc cho lắm.tới tham quan,chụp vài tấm ảnh rồi ghé quán cafe uống ly nước view biển là xong.
",4,0,0,0,0,0,{giai_tri#positive},mát mẻnhìn cũng dcnhưng ko có gì đặc_sắc cho lắmtới tham quanchụp vài tấm ảnh rồi ghé quán cafe uống ly nước view biển là xong
27,27,"Ăn no, món ăn ngon, gia đình mình ăn xong cả bàn ngổn ngang đĩa niêu vì mỗi đĩa rất ít. Cơm và cá ngon, canh hơi chua quá, tôm bình thường, kho quẹt bình thường, rau thập cẩm trình bày mất thẩm mỹ. Điểm trừ là phục vụ kém, ra đồ chậm, không biết gợi ý cho khách, ko miêu tả đc độ ít của đồ ăn. Nước ngọt và bia cũng phải gọi mấy lần mới có",0,0,0,2,0,0,{an_uong#negative},ăn no món ăn ngon gia_đình mình ăn xong cả bàn ngổn_ngang đĩa niêu vì mỗi đĩa rất ít cơm và cá ngon canh hơi chua quá tôm bình_thường kho quẹt bình_thường rau thập_cẩm trình_bày mất thẩm_mỹ điểm trừ là phục_vụ kém ra đồ chậm không biết gợi_ý cho khách ko miêu_tả đc độ ít của đồ_ăn nước_ngọt và bia cũng phải gọi mấy lần mới có
28,28,Nhà sách nay bị thu hẹp đi rất nhiều so với trước vì bên cạnh là của hàng xe máy yamaha  mở rộng cửa hàng thuê phần đất của nhà sách. Nên vì thế nhà sách bán đồ cũng ít hơn trước. Không còn đông vui nhộn nhiệp tấp nập như trước đây,0,0,0,0,0,3,{mua_sam#neutral},nhà_sách nay bị thu_hẹp đi rất nhiều so với trước vì bên cạnh là của hàng xe_máy yamaha mở_rộng cửa_hàng thuê phần đất của nhà_sách nên vì_thế nhà_sách bán đồ cũng ít hơn trước không còn đông vui_nhộn nhiệp tấp_nập như trước_đây
29,29,"Khách du lịch có nhu cầu thuê xe máy liên hệ địa chỉ này nha, ông bà chủ cực kỳ dễ thương lại nhiệt tình. Giá thuê xe thì khỏi bàn, siêu iu luôn nà",0,0,0,0,4,0,{di_chuyen#positive},khách du_lịch có nhu_cầu thuê xe_máy liên_hệ địa_chỉ này nha ông_bà chủ cực_kỳ dễ_thương lại nhiệt_tình giá thuê xe thì khỏi bàn siêu iu luôn nà
30,30,"Mình thuê 5 xe chạy từ Quy Nhơn đến các địa điểm du lịch ở Tuy Hòa - Phú Yên. Đây là cung đường đẹp nhất miền trung, vắng vẻ, ít xe và đường rất dễ đi. Nếu đã quyết đi phượt miền trung thì nhất định phải chạy cung đường này. Ngoài vẽ đẹp thiên nhiên thì chúng ta có thể ghé các khu nhà nuôi tôm để ăn hải sản hoặc vào đầm ô loan, có thể ghé các địa điểm du lịch khác như ghềnh đá đĩa, hoa vàng cỏ xanh, mũi điện... Xe thuê ở đây chạy rất tốt, êm dường như được bảo dưỡng rất kĩ. Ngoài chuẩn bị mũ bảo hiểm và áo mưa, xe còn được trang bị đầy đủ 2 gương và bạn chủ còn đi photo giấy tờ xe công chứng để bọn mình bọc đi đường, rất chu đáo và nhiệt tình. Chuyến đi kết thúc an toàn và vui vẻ, không gặp bất cứ sự cố gì, lần sau có dịp ghé Quy Nhơn nhất định sẽ quay lại đây để thuê xe máy. Cảm ơn và hẹn gặp lại",0,0,0,0,5,0,{di_chuyen#very_positive},mình thuê 5 xe chạy từ quy nhơn đến các địa_điểm du_lịch ở tuy_hoà phú_yên đây là cung đường đẹp nhất miền trung vắng_vẻ ít xe và đường rất dễ đi nếu đã quyết đi phượt miền trung thì nhất_định phải chạy cung đường này ngoài vẽ đẹp thiên_nhiên thì chúng_ta có_thể ghé các khu nhà nuôi tôm để ăn hải_sản hoặc vào đầm ô_loan có_thể ghé các địa_điểm du_lịch khác như ghềnh đá đĩa hoa vàng cỏ xanh mũi điện xe thuê ở đây chạy rất tốt êm dường_như được bảo_dưỡng rất kĩ ngoài chuẩn_bị mũ_bảo_hiểm và áo_mưa xe còn được trang_bị đầy_đủ 2 gương và bạn chủ còn đi photo giấy_tờ xe công_chứng để bọn mình bọc đi đường rất chu_đáo và nhiệt_tình chuyến đi kết_thúc an_toàn và vui_vẻ không gặp bất_cứ sự_cố gì lần sau có dịp ghé quy nhơn nhất_định sẽ quay lại đây để thuê xe_máy cảm_ơn và hẹn gặp lại
31,31,"Nhân viên nhiệt tình, phong cách hiện đại. Phòng ban công view phố đẹp, phòng mới sạch sẽ.",0,5,0,0,0,0,{luu_tru#very_positive},nhân_viên nhiệt_tình phong_cách hiện_đại phòng_ban công view phố đẹp phòng mới sạch_sẽ
32,32,"Quên nói về thức ăn - kêu nhum gì mà thê thảm , không béo gì hết, chỉ 1 màng mỏng , ăn không cảm nhận được gì luôn , tôm mũ ni giá 2 tr2 /kg vậy mà lúc chế biến không hề đem lên cho khách xem, lúc order thì pv nói 1 con chỉ khoảng mấy lạng cuối cùng tính tiền 1 con gần cả ký lô- - Nói chung tránh xa quán này ra",0,0,0,1,0,0,{an_uong#very_negative},quên nói về thức_ăn kêu nhum gì mà thê_thảm không béo gì hết chỉ 1 màng mỏng ăn_không cảm_nhận được gì luôn tôm mũ_ni giá 2 tr2 kg vậy_mà lúc chế_biến không hề đem lên cho khách xem lúc order thì pv nói 1 con chỉ khoảng mấy lạng cuối_cùng tính tiền 1 con gần cả ký_lô nói_chung tránh xa quán này ra
33,33,"Quán hơi chật, mà có đồ nướng với lẩu nữa,nên hơi bị ám mùi sau khi ăn xong. Nhưng được cái quán cũng khá sạch sẽ. Kiểu đồ ăn tây nhưng giá tiền lại Việt Nam. Đồ ăn ổn, Pizza rất thơm và ngon, nhiều phomai nên mềm lắm. Ba người ăn một cái là đủ rồi, đã cơn thèm. Món nướng thì ngon có nhiều lọi thịt như bò,ba rọi, đà điểu để mình chọn, nướng cuộn với xà lách tươi xanh chấm nước tương kiểu Hàn Quốc mà ngon lắm. Quán khá đông khách nên phục vụ hơi chậm. Nhưng mình vẫn sẽ quay lại",0,0,0,4,0,0,{an_uong#positive},quán hơi chật mà có đồ nướng với lẩu nữanên hơi bị ám mùi sau khi ăn xong nhưng được_cái quán cũng khá sạch_sẽ kiểu đồ_ăn tây nhưng giá tiền lại việt_nam đồ_ăn ổn pizza rất thơm và ngon nhiều phomai nên mềm lắm ba người ăn một cái là đủ rồi đã cơn thèm món nướng thì ngon có nhiều lọi thịt như bòba rọi đà_điểu để mình chọn nướng cuộn với xà_lách tươi xanh chấm nước_tương kiểu hàn_quốc mà ngon lắm quán khá đông khách nên phục_vụ hơi chậm nhưng mình vẫn sẽ quay lại
34,34,Đến một vài lần vào buổi tối để chơi bóng bàn với du khách. Thật vui.,4,0,0,0,0,0,{giai_tri#positive},đến một_vài lần vào buổi tối để chơi bóng_bàn với du_khách thật vui
35,35,"Gia đình mình có trẻ con nên ở phòng đôi k có bồn tắm, nhưng khách sạn linh động cho mình phòng đôi có bồn tắm trẻ con tắm thoải mái.Nhân viên lễ tân nhiệt tình, lễ phép. VỊ TRÍ thuận tiện, đi bộ 2p là đến vincom, 3p là ra đến biển, khá gần đường chính.",0,5,0,0,5,0,"{luu_tru#very_positive}, {di_chuyen#very_positive}",gia_đình mình có trẻ_con nên ở phòng đôi k có bồn_tắm nhưng khách_sạn linh_động cho mình phòng đôi có bồn_tắm trẻ_con tắm thoải máinhân viên lễ_tân nhiệt_tình lễ_phép vị_trí thuận_tiện đi bộ 2p là đến vincom 3p là ra đến biển khá gần đường chính
36,36,Không có lotte mart nên phải đến siêu thị Big C. Bình thường,0,0,0,0,0,4,{mua_sam#positive},không có lotte_mart nên phải đến siêu_thị big c bình_thường
